Rank	Programming Language	Year Created	Main Use Cases	Syntax Example
1	Python	1991	Data Science, Web Development, AI	print("Hello World!")
2	JavaScript	1995	Web Development, Game Development	console.log("Hello World!")
3	Java	1995	Enterprise Applications, Android Apps	System.out.println("Hello World!");
4	C#	2000	Web Applications, Game Development	Console.WriteLine("Hello World!");
5	C++	1985	System Software, Game Development	std::cout << "Hello World!" << std::endl;
6	PHP	1995	Web Development	echo "Hello World!";
7	TypeScript	2012	Web Development	console.log("Hello World!");
8	Ruby	1995	Web Development	puts "Hello World!"
9	Swift	2014	iOS and MacOS Development	print("Hello World!")
10	Go	2009	Cloud Services, Web Development	fmt.Println("Hello World!")